[default]

// Custom actors for Lexicon Deathmatch mapsets
// Addictive Deathmatch Series
ADMS_MAPSET_AUTHORS = "Iikka Kernen (Fingers)";
ADMS_MAPSET_CUSTOM = "N";
ADMS_MAPSET_DATE = "1996";
ADMS_MAPSET_MAPS = "8";
ADMS_MAPSET_TITLE = "Addictive Deathmatch Series";

// BUCKET DM 2
BKT2_MAPSET_AUTHORS = "Brendan Bradley (bucket)";
BKT2_MAPSET_CUSTOM = "N";
BKT2_MAPSET_DATE = "2014";
BKT2_MAPSET_MAPS = "32";
BKT2_MAPSET_TITLE = "BUCKET DM 2";

// Decamatch Complete
DECA_MAPSET_AUTHORS = "Team Onslaught, combinebobnt";
DECA_MAPSET_CUSTOM = "N";
DECA_MAPSET_DATE = "1997/1998";
DECA_MAPSET_MAPS = "20";
DECA_MAPSET_TITLE = "Decamatch Complete";
DECA_ACTOR_1 = "LexiconDM_DECA_Wind1SoundEmitter";
DECA_ACTOR_2 = "LexiconDM_DECA_Water1SoundEmitter";
DECA_ACTOR_3 = "LexiconDM_DECA_ComputerSoundEmitter";
DECA_ACTOR_4 = "LexiconDM_DECA_Water2SoundEmitter";
DECA_ACTOR_5 = "LexiconDM_DECA_GeneratorSoundEmitter";
DECA_ACTOR_6 = "LexiconDM_DECA_Wind2SoundEmitter";

// #1DWANGO
DW1D_MAPSET_AUTHORS = "DWANGO Team";
DW1D_MAPSET_CUSTOM = "N";
DW1D_MAPSET_DATE = "1995";
DW1D_MAPSET_MAPS = "13";
DW1D_MAPSET_TITLE = "#1DWANGO";

// Durango
DUGO_MAPSET_AUTHORS = "Durango Team";
DUGO_MAPSET_CUSTOM = "N";
DUGO_MAPSET_DATE = "2023";
DUGO_MAPSET_MAPS = "32";
DUGO_MAPSET_TITLE = "Durango";

// DWANGO1
DW01_MAPSET_AUTHORS = "DWANGO Team";
DW01_MAPSET_CUSTOM = "Y";
DW01_MAPSET_DATE = "1995";
DW01_MAPSET_MAPS = "11";
DW01_MAPSET_TITLE = "DWANGO1";

// DWANGO2
DW02_MAPSET_AUTHORS = "DWANGO Team";
DW02_MAPSET_CUSTOM = "Y";
DW02_MAPSET_DATE = "1995";
DW02_MAPSET_MAPS = "11";
DW02_MAPSET_TITLE = "DWANGO2";

// DWANGO3
DW03_MAPSET_AUTHORS = "DWANGO Team";
DW03_MAPSET_CUSTOM = "Y";
DW03_MAPSET_DATE = "1995";
DW03_MAPSET_MAPS = "14";
DW03_MAPSET_TITLE = "DWANGO3";

// DWANGO4
DW04_MAPSET_AUTHORS = "DWANGO Team";
DW04_MAPSET_CUSTOM = "Y";
DW04_MAPSET_DATE = "1995";
DW04_MAPSET_MAPS = "16";
DW04_MAPSET_TITLE = "DWANGO4";

// DWANGO5
DW05_MAPSET_AUTHORS = "DWANGO Team";
DW05_MAPSET_CUSTOM = "Y";
DW05_MAPSET_DATE = "1995";
DW05_MAPSET_MAPS = "24";
DW05_MAPSET_TITLE = "DWANGO5";

// DWANGO6
DW06_MAPSET_AUTHORS = "DWANGO Team";
DW06_MAPSET_CUSTOM = "Y";
DW06_MAPSET_DATE = "1995";
DW06_MAPSET_MAPS = "25";
DW06_MAPSET_TITLE = "DWANGO6";

// DWANGO7
DW07_MAPSET_AUTHORS = "DWANGO Team";
DW07_MAPSET_CUSTOM = "Y";
DW07_MAPSET_DATE = "1996";
DW07_MAPSET_MAPS = "10";
DW07_MAPSET_TITLE = "DWANGO7";

// DWANGO8
DW08_MAPSET_AUTHORS = "DWANGO Team";
DW08_MAPSET_CUSTOM = "Y";
DW08_MAPSET_DATE = "1996";
DW08_MAPSET_MAPS = "24";
DW08_MAPSET_TITLE = "DWANGO8";

// DWANGO10
DW10_MAPSET_AUTHORS = "DWANGO Team";
DW10_MAPSET_CUSTOM = "Y";
